book_id,authors,original_publication_year,original_title,genres
65,Kurt Vonnegut Jr.,1969,"Slaughterhouse-Five, or The Children's Crusade: A Duty-Dance with Death ",
66,Margaret Mitchell,1936,Gone with the Wind,Romance|War|Drama
67,Khaled Hosseini,2007,A Thousand Splendid Suns,Drama
68,Stephen Chbosky,1999,The Perks of Being a Wallflower,Drama|Romance
69,Veronica Roth,2012,Insurgent,Action|Adventure|Sci-Fi|Romance|Thriller
70,Orson Scott Card,1985,Ender's Game,Sci-Fi
71,"Mary Wollstonecraft Shelley, Percy Bysshe Shelley, Maurice Hindle",1818,"Frankenstein; or, The Modern Prometheus",Horror|Sci-Fi|Romance|Mystery
72,Stephen King,1977,The Shining,Horror 
73,Stephenie Meyer,2008,The Host,Thriller|Adventure|Mystery|Action|Sci-Fi
74,John Green,2005,Looking for Alaska,
75,Helen Fielding,1996,,
76,"Jane Austen, Tony Tanner, Ros Ballaster",1811,Sense and Sensibility,Romance|Drama|Comedy
77,"Louis Sachar, Louis Sachar",1998,Holes,Romance|Drama|Comedy|Adventure|Mystery
78,Lauren Weisberger,2003,The Devil Wears Prada,Comedy|Drama|Romance
79,"Homer, Robert Fagles, E.V. Rieu, Frédéric Mugler, Bernard Knox",-720,Ὀδύσσεια,
80,"Antoine de Saint-Exupéry, Richard Howard, Dom Marcos Barbosa, Melina Karakosta",1946,Le Petit Prince,Animation|Adventure|Fantasy|Drama
81,Jeannette Walls,2005,The Glass Castle,Drama
82,Jon Krakauer,1996,Into the Wild,Adventure|Drama
83,"Charles Dickens, Richard Maxwell, Hablot Knight Browne",1859,A Tale of Two Cities,Drama|Action|Adventure
84,Michael Crichton,1990,Jurassic Park,Adventure|Fantasy|Sci-Fi|Action|Mystery
85,Shel Silverstein,1964,The Giving Tree,Children
86,John Grisham,1989,A Time to Kill,Thriller|Drama|Crime
87,"Elie Wiesel, Marion Wiesel",1958,Un di Velt Hot Geshvign,
88,John Green,2008,Paper Towns,Romance|Drama|Mystery
89,William Goldman,1973,The Princess Bride,Romance|Comedy|Adventure|Fantasy
90,S.E. Hinton,1967,The Outsiders,Crime|Drama
91,James Dashner,2009,The Maze Runner,Action|Mystery|Sci-Fi|Thriller
92,"Steven D. Levitt, Stephen J. Dubner",2005,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything,
93,Frances Hodgson Burnett,1911,The Secret Garden,Drama|Fantasy
94,"Gabriel García Márquez, Gregory Rabassa",1967,Cien años de soledad,
95,"Oscar Wilde, Jeffrey Eugenides",1891,The Picture of Dorian Gray,Horror|Fantasy|Crime|Drama|Thriller
96,E.L. James,2012,Fifty Shades Freed,Romance
97,"Bram Stoker, Nina Auerbach, David J. Skal",1897,Dracula,Horror|Thriller|Mystery
98,"Stieg Larsson, Reg Keeland",2006,Flickan som lekte med elden,Thriller|Crime|Msytery|Drama
99,E.L. James,2011,Fifty Shades Darker,Romance|Drama
100,Barbara Kingsolver,1998,The Poisonwood Bible,Drama
101,David Sedaris,2000,Me Talk Pretty One Day,Comedy
102,Maurice Sendak,1963,Where the Wild Things Are,Adventure|Drama|Fantasy
103,"Alexandre Dumas, Robin Buss",1844,Le Comte de Monte-Cristo,Action|Romance|Adventure|Thriller|Drama|Crime|
104,Cormac McCarthy,2006,The Road,Drama|Sci-Fi|Adventure
105,Veronica Roth,2013,Allegiant,Sci-Fi|Romance
106,Tina Fey,2011,Bossypants,Drama|Romance|
107,Nicholas Sparks,1999,A Walk to Remember,Muscial
108,Sophie Kinsella,2000,Confessions of a Shopaholic,Comedy|Romance
109,"Victor Hugo, Lee Fahnestock, Norman MacAfee",1862,Les Misérables,Crime|Drama
110,George R.R. Martin,1998,A Clash of Kings,Action|Romance|Adventure|Thriller|Drama|Crime|
111,Kim Edwards,2005,The Memory Keeper's Daughter,Drama
112,Jojo Moyes,2012,Me Before You,Drama
113,Joseph Heller,1961,Catch-22,Comedy|War|Drama
114,"Mitch Albom, Saulius Dagys",1997,Tuesdays with Morrie,Drama
115,Jeffrey Eugenides,2002,Middlesex,
116,"Mark Twain, Guy Cardwell, John Seelye",1876,The Adventures of Tom Sawyer,Adventure|Drama
117,Madeleine L'Engle,1962,A Wrinkle in Time,Sci-Fi|Fantasy
118,Amy Tan,1989,The Joy Luck Club,Drama
119,Margaret Atwood,1985,The Handmaid's Tale,Drama|Thriller|Sci-Fi
120,Ann Brashares,2001,The Sisterhood of the Traveling Pants,Comedy|Romance|Adventure|Drama
121,"Vladimir Nabokov, Craig Raine",1955,Lolita,Drama|Romance
122,"Gregory Maguire, Douglas Smith",1995,Wicked: The Life and Times of the Wicked Witch of the West,Adventure
123,John Grisham,1991,The Firm,Drama|Mystery|Thriller
124,Emma Donoghue,2010,Room,Thriller
125,"William Shakespeare, Richard Andrews, Rex Gibson",1600,"The Tragicall Historie of Hamlet, Prince of Denmark",Action
126,Frank Herbert,1965,Dune,Sci-Fi|Fantasy|Adventure|Romance
127,Malcolm Gladwell,2000,The Tipping Point: How Little Things Can Make a Big Difference,
128,Walter Isaacson,2011,Steve Jobs,Drama
129,Ken Kesey,1962,One Flew Over the Cuckoo's Nest,
130,Ernest Hemingway,1952,The Old Man and the Sea,Drama
131,John Steinbeck,1939,The Grapes of Wrath,Drama
132,Mitch Albom,2003,The Five People You Meet in Heaven,Drama|Fantasy
133,L.M. Montgomery,1908,Anne of Green Gables,Drama
134,Cassandra Clare,2009,City of Glass,
135,George R.R. Martin,2000,A Storm of Swords,
136,Rebecca Wells,1996,Divine Secrets of the Ya-Ya Sisterhood,Comedy|Drama
137,Diana Gabaldon,1991,Outlander,Action|Sci-Fi
138,"Nathaniel Hawthorne, Thomas E. Connolly, Nina Baym",1850,The Scarlet Letter,Drama|Romance
139,Ransom Riggs,2011,Miss Peregrine’s Home for Peculiar Children,
140,"Stieg Larsson, Reg Keeland",2007,Luftslottet som sprängdes,Thriller|Crime|Mystery
141,Andy Weir,2012,The Martian,Sci-Fi|Drama
142,Ken Follett,1989,The Pillars of the Earth,Romance|Thriller
143,Anthony Doerr,2014,,
144,Laura Hillenbrand,2010,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",War
145,Dan Brown,2001,Deception Point,Thriller|Sci-Fi
146,Donna Tartt,2013,The Goldfinch,Drama
147,Jay Asher,2007,Thirteen Reasons Why,Mystery
148,Tracy Chevalier,1999,Girl with a Pearl Earring,Romance
149,Gayle Forman,2009,If I Stay,Romance|Fantasy|Musical
150,Anita Diamant,1997,The Red Tent,Adventure|Drama|Fantasy
151,Rick Riordan,2006,The Sea of Monsters,Adventure|Fantasy
152,Nicholas Sparks,2006,Dear John,Romance|Drama|War
153,Cassandra Clare,2008,City of Ashes,Fantasy
154,William Shakespeare,1606,The Tragedy of Macbeth,War
155,J.R.R. Tolkien,1954,The Two Towers,Action|Adventure|Fantasy
156,Emily Giffin,2004,Something Borrowed,Comedy|Romance|Drama
157,"Dr. Seuss, לאה נאור",1960,Green Eggs and Ham,Children
158,"Roald Dahl, Quentin Blake",1964,Charlie and the Chocolate Factory,Comedy|Adventure|Fantasy
159,Rick Riordan,2008,The Battle of the Labyrinth,Adventure|Fantasy
160,Charles Dickens,1860,Great Expectations,Drama|Romance
161,J.R.R. Tolkien,1955,The Return of the King,Adventure|Drama|Fantasy
162,"Albert Camus, Matthew    Ward",1942,L’Étranger,
163,Rick Riordan,2010,The Lost Hero,Fantasy
164,Rainbow Rowell,2013,Eleanor & Park,Romance
165,George R.R. Martin,2005,A Feast for Crows,Fantasy
166,Ally Condie,2010,Matched,Romance|Fantasy|Sci-Fi
167,Neil Gaiman,2001,American Gods,Action|Adventure|Action
168,"Stephen King, Bernie Wrightson",1978,The Stand,Horror|Sci-Fi|Fantasy
169,Nicholas Sparks,2008,The Last Song,Muscial|Romance
170,Dan Brown,1998,Digital Fortress,Sci-Fi|Mystery|Thriller
171,"Jane Austen, Fiona Stafford",1815,Emma,Comedy|Romance
172,"Leo Tolstoy, Louise Maude, Leo Tolstoj, Aylmer Maude",1877,Анна Каренина,
173,Anthony Burgess,1962,A Clockwork Orange,Sci-Fi|Crime|Mystery
174,William Paul Young,2007,The Shack: Where Tragedy Confronts Eternity,Thriller
175,Rick Riordan,2009,The Last Olympian,Fantasy|Adventure
176,Stephen King,1986,It,Horror|Thriller|Mystery
177,"Fyodor Dostoyevsky, David McDuff",1866,Преступление и наказание,
178,Sylvia Plath,1963,The Bell Jar,
179,Frank McCourt,1996,Angela's Ashes: A Memoir,
180,"Hermann Hesse, Hilda Rosner",1922,Siddhartha,Drama|Mystery
181,Truman Capote,1965,In Cold Blood,Crime|Drama
182,"Kami Garcia, Margaret Stohl",2009,Beautiful Creatures,Romance|Fantasy
183,Cassandra Clare,2010,Clockwork Angel,Romance|Fantasy|Adventure
184,"Roald Dahl, Quentin Blake",1988,Matilda,Comedy|Fantasy
185,Erin Morgenstern,2011,The Night Circus,Romance|Fantasy
186,Philippa Gregory,2001,The Other Boleyn Girl,Romance|Drama
187,Scott Westerfeld,2005,Uglies,Fantasy|Sci-Fi
188,George R.R. Martin,2011,A Dance with Dragons,Fantasy 
189,J.R.R. Tolkien,1955,The Lord of the Rings,Action|Fantasy|Adventure
190,Cheryl Strayed,2012,Wild: From Lost to Found on the Pacific Crest Trail ,
191,"Alan Moore, Dave Gibbons, John Higgins",1987,Watchmen,Action|Thriller|Fantasy|Sci-Fi|Mystery|Adventure
192,Patrick Rothfuss,2007,The Name of the Wind,
193,Malcolm Gladwell,2008,Outliers: The Story of Success,Action
194,"Herman Melville, Andrew Delbanco, Tom Quirk",1851,"Moby Dick; or, The Whale",Adventure
195,"Mary Ann Shaffer, Annie Barrows",2008,The Guernsey Literary and Potato Peel Pie Society,Romance|Drama
196,Chuck Palahniuk,1996,Fight Club,Action|Comedy
197,Charlaine Harris,2001,Dead Until Dark,Romance|Fantasy|Mystery
198,Alice Walker,1982,The Color Purple,Drama
199,John Grogan,2005,Marley & Me: Life and Love with the World's Worst Dog,
200,Agatha Christie,1939,Ten Little Niggers,Mystery
201,Dan Brown,2009,The Lost Symbol,Mystery|Thriller
202,Becca Fitzpatrick,2009,"Hush, Hush",Fantasy|Romance
203,Jamie McGuire,2011,Beautiful Disaster,Romance
204,Charles Dickens,1843,A Christmas Carol,Animation|Comedy|Fantasy
205,Anne Rice,1976,Interview with the Vampire,Horror|Drama|Fantasy
206,Kiera Cass,2012,The Selection,Drama|Romance
207,Janet Evanovich,1994,One for the Money,Comedy|Thriller|Crime|Action|Romance
208,Rebecca Skloot,2010,The Immortal Life of Henrietta Lacks,Horror|Crime|Mystery|Thriller
209,Thomas Harris,1988,The Silence of the Lambs,Horror|Crime|Mystery|Thriller
210,Richelle Mead,2007,,
211,Malcolm Gladwell,2005,Blink: The Power of Thinking Without Thinking,
212,Ian McEwan,2001,Atonement,Romance|War|Mystery
213,"Franz Kafka, Stanley Corngold",1915,Die Verwandlung,Comedy|Fantasy
214,Rick Riordan,2007,The Titan's Curse,
215,Ernest Cline,2011,,
216,Garth Stein,2006,The Art of Racing in the Rain,
217,"Erik Larson, Tony Goldwyn",2003,"The Devil in the White City: Murder, Magic, and Madness at the Fair that Changed America",Crime
218,Sylvia Day,2012,Bared to You,Romance
219,"C.S. Lewis, Pauline Baynes",1956,The Chronicles of Narnia,Adventure|Action|Fantasy|
220,Mark Cotta Vaz,,Twilight: The Complete Illustrated Movie Companion,Romance|Fantasy
221,Dave Pelzer,1995,"A Child Called ""It"": One Child's Courage to Survive",Thriller
222,Robert Ludlum,1980,The Bourne Identity,Action|Thriller|War
223,Eoin Colfer,2001,Artemis Fowl,Adventure|Action|Fantasy|Sci-Fi
224,Lauren Kate,2009,Fallen,Romance|Adventure|Thriller|Fantasy
225,John Steinbeck,1952,East of Eden  ,Drama|Romance
226,Gillian Flynn,2009,Dark Places,Thriller|Mystery
227,John Grisham,1993,The Client,Thriller|Mystery|Crime
228,"Emma McLaughlin, Nicola Kraus",2002,The Nanny Diaries,Comedy|Romance
229,"Lewis Carroll, John Tenniel, Martin Gardner",1865,Alice's Adventures in Wonderland,Fantasy|Musical|Adventure|Drama
230,"Jane Austen, James Kinsley, Deidre Shauna Lynch",1817,Persuasion,Drama|Romance
231,Tatiana de Rosnay,2007,Elle s'appelait Sarah,Drama|War
232,Stephen King,1982,The Gunslinger,Action|Sci-Fi|Adventure|Western|Horror
233,"Gabriel García Márquez, Edith Grossman",1985,El amor en los tiempos del cólera,
234,Laurie Halse Anderson,1999,Speak,Drama
235,Liane Moriarty,2013,The Husband's Secret ,Thriller
236,Jon Krakauer,1997,Into Thin Air: A Personal Account of the Mt. Everest Disaster,
237,Stephen King,1974,Carrie,Horror
238,Augusten Burroughs,2002,Running with Scissors,Comedy 
239,Max Brooks,2006,World War Z: An Oral History of the Zombie War,Action|Horror|Adventure|Sci-Fi
240,Dan Brown,2013,Inferno,Crime|Mystery|Thriller
241,Lois Lowry,1989,Number the Stars,Children
242,James Patterson,1993,Along Came a Spider,Thriller|Crime|Mystery
243,Stephen King,1987,Misery,Thriller|Drama|Crime
244,Gillian Flynn,2006,Sharp Objects,Thriller|Mystery
245,Katherine Paterson,1977,Bridge to Terabithia,Fantasy|Adventure|Drama
246,"P.C. Cast, Kristin Cast",2007,Marked,Thriller
247,Stephen R. Covey,1989,The 7 Habits of Highly Effective People,Documentary
248,"William Shakespeare, Barbara A. Mowat, Paul Werstine, Catherine Belsey",1595,A Midsummer Night's Dream,Comedy|Fantasy
249,Jonathan Safran Foer,2005,Extremely Loud and Incredibly Close,Adventure|Drama|Mystery
250,R.J. Palacio,2012,Wonder,Comedy|Drama
251,Dr. Seuss,1957,The Cat in the Hat,Comedy|Adventure
252,Marissa Meyer,2012,Cinder,Romance|Adventure|Sci-Fi|Fantasy|Drama
253,"Robert Galbraith, J.K. Rowling",2013,The Cuckoo's Calling,Mystery|Crime
254,Maggie Stiefvater,2009,Shiver,Horror|Thriller
255,"Ayn Rand, Leonard Peikoff",1957,Atlas Shrugged,Drama|Sci-Fi|Mystery
256,"Greg Mortenson, David Oliver Relin",2006,Three Cups of Tea ,Documentary
257,"Jane Carruth, Lewis Carroll, Rene Cloke",1865,,
258,"Carlos Ruiz Zafón, Lucia Graves",2001,La sombra del viento,Drama|Thriller|Mystery
259,James Dashner,2010,The Scorch Trials,Thriller|Action|Sci-Fi
260,Dale Carnegie,1936,How to Win Friends and Influence People,
261,Frances Mayes,1996,Under the Tuscan Sun,Comedy|Romance
262,Liane Moriarty,2014,Big Little Lies,Mystery|Drama
263,Gail Carson Levine,1997,Ella Enchanted,Comedy|Romance|Fantasy
264,Ernest Hemingway,1926,The Sun Also Rises,Romance|Drama
265,Betty  Smith,1943,A Tree Grows In Brooklyn ,Romance|Drama
266,James Patterson,1995,Kiss the Girls,Thriller|Mystery|Crime|Drama
267,Kristin Hannah,2015,The Nightingale,Drama|Thriller
268,Kazuo Ishiguro,2005,Never Let Me Go,Romance|Thriller|Sci-Fi|Drama
269,Cecelia Ahern,2003,"PS, I Love You",Romance|Drama
270,"Daphne du Maurier, Sally Beauman",1938,Rebecca,Romance|Mystery|Drama|Thriller
271,Daniel Keyes,1966,Flowers for Algernon,Drama 
272,"Laura Esquivel, Thomas  Christensen, Carol Christensen",1989,Como agua para chocolate,Romance|Drama
273,Lisa See,2005,Snow Flower and the Secret Fan,Drama
274,"Mario Puzo, Robert Thompson, Peter Bart",1969,The Godfather,Crime|Mystery|Drama
275,John Green,2006,An Abundance of Katherines,Romance
276,Isaac Asimov,1951,Foundation,Sci-Fi
277,Neil Gaiman,2013,The Ocean at the End of the Lane,Horror|Fantasy
278,Shel Silverstein,1981,A Light in the Attic,Children
279,"John Tiffany, Jack Thorne, J.K. Rowling",2016,"Harry Potter and the Cursed Child, Parts One and Two",Adventure|Animation|Children|Comedy|Fantasy
280,Lauren Oliver,2011,Delirium,Horror|Thriller
281,John Grisham,1992,The Pelican Brief,Thriller|Mystery|Crime|Drama|Action
282,Neil Gaiman,2002,Coraline,Children|Horror
283,"Terry Pratchett, Neil Gaiman",1990,"Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch",Comedy|Horror|Fantasy
284,Jack Kerouac,1955,On the Road,Romance|Drama|Adevnture
285,Graeme Simsion,2013,The Rosie Project,Romance
286,Nicholas Sparks,2008,The Lucky One,Romance|Drama
287,"Ayn Rand, Leonard Peikoff",1943,The Fountainhead,Romance|Drama
288,Tom Clancy,1984,The Hunt for Red October,Thriller|Action|Adventure
289,Richard Adams,1972,Watership Down,Animation|Adventure|Thriller|Fantasy
290,Mindy Kaling,2011,Is Everyone Hanging Out Without Me? (And Other Concerns),Comedy
291,Abraham Verghese,2009,Cutting for Stone,Drama
292,"C.S. Lewis, Pauline Baynes",1951,The Voyage of the Dawn Treader,Children|Fantasy
293,Robert Louis Stevenson,1882,Treasure Island,Adventure 
294,Rick Riordan,2011,The Son of Neptune ,Fantasy|Adventure
295,Stephen King,2011,22/11/1963,
296,Eric Carle,1969,The Very Hungry Caterpillar,Children
297,Kurt Vonnegut Jr.,1963,Cat's Cradle,Comedy|Sci-Fi
298,"H.G. Wells, Greg Bear, Carlo Pagetti",1895,The Time Machine,Sci-Fi|Adventure|Action|Drama
299,"Todd Burpo, Lynn Vincent",2010,,
300,John Boyne,2006,The Boy in the Striped Pyjamas,War|Drama
1000,Leigh Bardugo,2012,Shadow and Bone,Fantasy
1001,"Herman Koch, Sam Garrett",2009,Het diner,Drama|Thriller
1002,Marie Lu,2013,Champion,Drama
1003,Carl Sagan,1985,Contact,Drama|Thriller|Mystery|Sci-Fi 
1004,Stephanie Perkins,2011,Lola and the Boy Next Door,Drama|Horror|Romance|Thriller
1005,Zadie Smith,1999,White Teeth,Drama|Comedy
1006,"Chris Kyle, Scott McEwen, Jim DeFelice",2012,American Sniper: The Autobiography of the Most Lethal Sniper in U.S. Military History,Action|Drama
1007,Chelsea Handler,2004,My Horizontal Life: A Collection of One-Night Stands,Drama
1008,Pittacus Lore,2011,The Power of Six,Action|Adventure|Fantasy|Sci-Fi
1009,Meg Wolitzer,2013,The Interestings,Comedy|Drama
1010,Bill Watterson,1988,The Essential Calvin and Hobbes: A Calvin and Hobbes Treasury,Animation|Adventure
1011,Geraldine Brooks,2008,People of the Book,Sci-Fi
1012,Kate Morton,2012,The Secret Keeper,Sci-Fi|Mystery
1013,Better Homes and Gardens,1953,Better Homes & Gardens New Cook Book,Documentry
1014,Douglas Adams,1984,"So Long, and Thanks for All the Fish",Sci-Fi|Fantasy|Comedy
1015,"Hermann Hesse, Basil Creighton",1927,Der Steppenwolf: Erzählung,Drama
1016,Tess Gerritsen,2001,The Surgeon,Thriller|Mystery|Horror|Crime
1017,Jojo Moyes,2012,The Girl You Left Behind,Romance
1018,Robin Hobb,1996,Royal Assassin,Fantasy
1019,Arthur C. Clarke,1953,Childhood's End,Sci-Fi
1020,"Kate DiCamillo, Timothy Basil Ering",2004, The Tale of Despereaux,Fantasy
1021,"Barbara Kingsolver, Steven L. Hopp, Camille Kingsolver, Richard A. Houser",2007,"Animal, Vegetable, Miracle: A Year of Food Life",
1022,Sarah J. Maas,2014,Heir of Fire,Fantasy
1023,Robert Jordan,1994,,
1024,Alan Bradley,2009,The Sweetness at the Bottom of the Pie,Sci-Fi|Mystery
1025,Donald Miller,2003,Blue Like Jazz: Nonreligious Thoughts on Christian Spirituality,Comedy|Drama
1026,Diana Gabaldon,2005,A Breath of Snow and Ashes,Romance|Fantasy|Sci-Fi
1027,Rick Riordan,2014,The Blood of Olympus,Adventure|Fantasy
1028,Liane Moriarty,2016,Truly Madly Guilty,
1029,"Brian K. Vaughan, Fiona Staples",2012,"Saga, Volume One",Animation|Children|Sci-Fi
1030,Chad Harbach,2011,The Art of Fielding,
1031,Ernest Hemingway,1964,A Moveable Feast,
1032,Brandon Mull,2006,Fablehaven,Fantasy
1033,"Lemony Snicket, Brett Helquist",2000,The Wide Window,Mystery|Fantasy
1034,Jim Butcher,2001,Grave Peril,Sci-Fi|Mystery|Horror|Crime|Fantasy
1035,Walter Isaacson,2007,Einstein. His Life and Universe,Documentry
1036,S.C. Stephens,2011,Effortless,Sci-Fi|Romance
1037,John Grisham,1998,The Street Lawyer,Sci-Fi|Thriller
1038,Mildred D. Taylor,1976,"Roll of Thunder, Hear My Cry",
1039,"Seth Grahame-Smith, Jane Austen",2009,Pride and Prejudice and Zombies,Horror|Action|Romance|Thriller
1040,David Sedaris,2013,Lets Explore Diabetes with Owls,
1041,"Fyodor Dostoyevsky, Constance Garnett, Alan Myers, Joseph Frank, Anna Brailovsky",1868,Идиот,
1042,Douglas Adams,1987,Dirk Gently's Holistic Detective Agency,Comedy|Sci-Fi
1043,Jeff Kinney,2008,Rodrick Rules,Comedy|Sci-Fi
1044,Mindy Kaling,2015,Why Not Me?,
1045,Veronica Roth,2014,Four: A Divergent Collection,
1046,"Aziz Ansari, Eric Klinenberg",2015,Modern Romance,
1047,"Katherine Applegate, Patricia Castelao",2012,The One and Only Ivan,Sci-Fi|Children
1048,Sebastian Junger,1997,The Perfect Storm: A True Story of Men Against the Sea,
1049,Brandon Sanderson,2005,Elantris,Fantasy
1050,Patrick Ness,2008,The Knife of Never Letting Go,Sci-Fi
1051,Jim Fergus,1998,One Thousand White Women: The Journals of May Dodd,
1052,Jodi Picoult,2009,Handle with Care,Musical
1053,"Stephen King, Darrel Anderson",2004,Song of Susannah,Sci-Fi|Horror|Fantasy|Western
1054,Ally Condie,2012,Reached,Romance
1055,Salman Rushdie,1981,Midnight's Children,
1056,Max Brooks,2004,The Zombie Survival Guide: Complete Protection from the Living Dead,Horror
1057,John Grisham,1999,The Testament,
1058,Agatha Christie,1930,Murder at the Vicarage,Mystery|Crime
1059,Margaret Peterson Haddix,1998,Among the Hidden ,Sci-Fi
1060,Michael Pollan,2007,In Defense of Food: An Eater's Manifesto,Documentry
1061,Elizabeth George Speare,1958,The Witch of Blackbird Pond,Children
1062,Kiera Cass,2015,The Heir,Romance|Fantasy
1063,Sophie Kinsella,2002,Shopaholic Ties the Knot,Romance
1064,"Wilkie Collins, Matthew Sweet",1859,The Woman in White,Mystery|Sci-Fi
1065,"Robert Galbraith, J.K. Rowling",2015,Career of Evil,Thriller|Mystery|Crime
1066,Jenny Han,2009,The Summer I Turned Pretty,Romance
1067,Janet Evanovich,1998,Four to Score ,Mystery|Crime
